Survived,Pclass,Sex,Age,FamilyMember,Cabin,Embarked
0,2,male,19,1,Z,S
0,3,male,28,0,Z,C
0,3,male,28,0,Z,Q
0,2,male,39,0,Z,S
0,3,male,30,0,Z,S
0,2,female,44,1,Z,S
0,2,male,19,0,Z,S
0,1,male,46,1,E,S
0,3,female,47,1,Z,S
0,1,male,51,0,Z,C
0,3,male,28,0,Z,Q
0,2,male,27,0,Z,S
1,3,female,28,0,Z,Q
1,1,female,28,1,C,S
1,2,female,4,1,Z,S
0,1,male,27,0,C,C
0,3,male,21,0,Z,S
1,1,male,60,1,B,C
0,3,male,20,0,Z,S
0,2,male,23,0,Z,C
0,3,male,49,0,Z,S
0,3,male,26,0,Z,S
1,2,female,24,0,Z,S
0,3,male,44,0,Z,S
0,1,male,33,0,B,S
1,1,female,16,0,D,S
1,3,female,28,0,Z,Q
0,3,male,22,0,Z,S
1,3,female,28,0,Z,Q
0,3,male,31,0,Z,Q
0,2,male,18,0,Z,S
1,2,male,3,1,Z,S
1,3,female,21,0,Z,S
0,3,male,28,0,Z,Q
1,2,male,2,1,F,S
0,3,male,46,0,Z,C
0,3,male,32,1,Z,S
0,3,male,26,0,Z,S
0,3,male,21,0,Z,S
0,3,male,28,0,Z,C
0,3,male,11,5,Z,S
1,3,male,44,0,Z,S
0,2,male,23,0,Z,S
0,2,male,39,0,Z,S
0,1,male,62,0,C,S
0,3,female,26,1,Z,S
0,2,male,32,2,Z,S
1,2,female,24,2,Z,S
0,3,male,19,0,Z,S
0,3,male,22,0,Z,S
1,1,female,31,0,C,S
0,3,female,28,0,Z,S
1,3,male,25,0,Z,S
0,3,female,2,0,G,S
1,3,female,24,0,G,S
1,2,female,8,0,Z,S
1,1,female,30,0,E,C
1,2,female,7,0,Z,S
0,3,male,23,0,Z,S
1,3,female,5,2,Z,C
1,2,female,19,1,Z,S
1,3,female,27,0,Z,S
0,3,male,28,0,Z,S
0,3,male,35,0,Z,S
0,3,male,40,0,Z,S
0,3,male,39,0,Z,S
0,3,male,29,0,Z,S
0,3,male,38,0,Z,S
0,3,male,28,0,Z,S
0,3,female,28,8,Z,S
1,3,male,12,1,Z,C
1,1,female,56,0,C,C
1,2,female,19,0,Z,S
0,3,male,28,0,Z,S
1,1,male,17,0,C,C
1,2,female,50,0,Z,S
0,2,male,27,0,Z,S
0,3,male,28,0,Z,S
0,3,male,28,0,Z,C
0,3,male,28,0,Z,S
1,3,male,28,0,Z,S
0,3,male,28,0,Z,S
0,2,male,52,0,Z,S
0,3,male,21,0,Z,S
0,3,male,33,1,Z,S
0,2,male,34,1,Z,S
1,2,female,25,1,Z,S
0,2,male,24,0,Z,S
0,2,male,26,0,Z,S
0,3,male,28,0,Z,Q
0,3,male,2,4,Z,S
0,3,male,10,3,Z,S
1,3,female,28,0,Z,Q
1,2,female,29,0,F,S
1,1,male,28,0,C,C
0,1,male,71,0,Z,C
0,3,male,32,0,Z,S
0,2,male,57,0,Z,Q
0,3,male,28,0,Z,C
0,1,male,28,0,C,S
0,2,male,36,1,Z,S
1,3,female,14,1,Z,C
0,3,male,28,1,Z,S
0,2,male,16,0,Z,S
1,1,female,35,1,C,S
0,3,male,37,2,Z,S
0,3,male,31,0,Z,S
0,3,male,48,0,Z,S
1,3,female,15,0,Z,C
0,1,male,45,0,B,S
1,1,female,35,0,C,S
0,3,male,31,0,Z,S
0,3,male,28,1,Z,S
0,3,male,36,1,Z,S
0,3,male,2,4,Z,Q
1,1,female,58,0,B,C
0,2,male,31,1,Z,S
0,2,male,28,0,Z,S
0,3,male,28.5,0,Z,C
0,1,male,30,0,C,C
0,1,male,60,0,Z,S
0,3,male,32,0,Z,S
0,3,female,31,1,Z,S
0,2,male,43,1,Z,S
0,3,male,17,0,Z,S
0,3,female,23,0,Z,S
1,1,male,25,1,B,C
1,3,male,20,1,Z,C
0,3,female,40,1,Z,S
0,3,male,21,0,Z,S
1,3,female,15,0,Z,Q
0,3,male,35,0,Z,S
0,3,male,28,0,Z,S
0,3,male,28,1,Z,S
1,3,male,20,1,Z,S
0,2,male,35,0,Z,S
0,3,male,28,1,Z,Q
0,3,male,20,0,Z,S
0,3,male,44,0,Z,S
0,3,male,30,0,Z,S
0,3,male,28,0,Z,C
0,3,male,43,0,Z,S
0,3,male,28,0,Z,S
0,3,male,28,0,Z,Q
0,3,male,17,1,Z,S
1,3,female,28,0,Z,Q
0,2,male,28,0,Z,C
1,1,female,24,3,C,S
0,3,female,17,0,Z,C
1,3,female,28,0,Z,Q
1,3,female,4,1,G,S
